uno	dos	tres	cuatro	cinco
	762	724	566	484	472
	762	724	632	550	498
	762	724	660	591	532
	762	724	670	611	552
	762	724	673	621	567
	762	724	677	630	584
	762	724	675	629	586
	762	724	676	631	591
	763	724	678	635	600
	762	724	676	632	597
	762	725	677	633	599
	762	724	679	637	604
	762	724	676	633	601
	763	725	678	636	604
	763	725	678	636	604
	763	724	677	634	603
	763	724	678	637	607
	763	725	677	635	603
	762	726	680	644	620
	763	724	679	642	623
	765	725	677	635	609
	765	725	678	636	608
	764	726	680	640	612
	765	726	678	636	606
	765	726	679	638	608
	764	726	681	640	610
	765	726	679	637	607
	765	726	680	639	610
	765	726	680	639	609
	763	726	682	642	618
	763	726	686	648	626
	762	726	680	639	613
	763	726	676	633	602
	765	726	677	635	604
	764	726	676	633	600
	767	726	678	634	601
	767	726	680	638	607
	767	725	678	636	603
	767	726	679	637	605
	767	725	680	639	609
	767	725	678	636	605
	767	725	679	637	607
	767	725	679	639	609
	766	725	677	636	606
	767	724	679	638	608
	766	724	678	638	608
	767	724	677	636	606
	767	725	678	637	609
	766	724	678	636	606
	767	724	677	636	606
	767	724	679	639	610
	767	723	677	636	606
	767	723	677	636	606
	768	724	679	639	610
	767	723	677	636	606
	768	723	678	637	608
	768	723	678	638	609
	768	723	677	636	606
	767	723	678	638	609
	767	723	677	637	607
	767	723	677	636	606
	767	723	678	639	611
	767	722	676	636	606
	767	722	676	636	606
	767	723	678	639	611
	767	723	676	635	606
	767	723	676	636	606
	766	723	678	639	610
	767	722	676	635	606
	767	723	677	636	607
	767	723	678	637	601
	767	723	676	635	598
	767	723	678	638	606
	767	723	678	640	609
	767	724	678	642	607
	767	723	678	641	613
	767	723	677	637	607
	767	724	677	637	606
	768	723	679	640	611
	767	724	677	636	606
	767	724	677	636	606
	767	724	679	640	611
	768	724	677	636	605
	767	724	678	637	606
	767	724	679	640	611
	768	724	677	636	605
	768	724	678	637	607
	768	724	679	639	609
	767	724	677	637	606
	767	724	678	638	609
	767	724	678	638	608
	768	724	678	637	606
	768	724	679	640	610
	767	724	678	638	607
	768	725	678	637	606
	768	725	680	640	611
	767	724	678	637	607
	768	724	678	638	607
	768	724	680	641	612
	767	725	678	637	607
	767	725	678	638	607
	767	725	680	641	612
	767	724	678	637	607
	767	725	678	638	607
	767	725	680	641	612
	767	724	678	637	607
	767	724	678	638	607
	767	724	680	641	612
	767	724	678	637	607
	767	725	679	638	608
	767	725	680	641	612
	767	724	678	637	607
	767	725	679	638	608
	767	725	680	641	611
